id;en;de;ru
2_ccprof_line2;Tip: you should clear one line first.;Tipp: Lösche zuerst einen anderen.;Удалите один уже имеющийся Профиль.
;;;
2_delprof_line1;Are you sure you want to delete the Profile?;Sind Sie sicher, das Sie das Profil löschen wollen?;Вы действительно хотите удалить запись?
2_delprof_line2;Note: all Pilot Profile data will be lost.;Hinweis: Alle Daten des Piloten werden gelöscht.;Все данные Профиля будут потеряны.
;;;
2_cnrepair_line1;Not enough money for the full hull repair.;Zuwenig Geld für komplette Instandsetzung.;Полный ремонт корабля невозможен.
2_cnrepair_line2;Note: Repair has been limited by money.;Hinweis:Hülle wurde nur teilw. repariert.;Ремонт будет ограничен деньгами.
;;;
2_restart_line1;Are you sure you want to restart the game?;Wollen Sie das Spiel wirklich neu starten?;Вы действительно хотите переиграть?
2_restart_line2;Note: the current game data will be lost.;Hinweis: Der aktuelle Spielstand geht verloren.;Текущие данные миссии будут потеряны.
;;;
;;;
3_Joystick_DeadZone;Joystick DeadZone;Joystick Neutralzone;Мертвая зона джойстика
3_Control_Sensitivity;Control Sensitivity;Empfindlichkeitskontrolle;Чувствительность
3_MOUSE;MOUSE;MAUS;МЫШКА
3_KEYBOARD;KEYBOARD;TASTATUR;КЛАВИАТУРА
3_JOYSTICK;JOYSTICK;JOYSTICK;ДЖОЙСТИК
3_Primary_Attack;Primary Attack;Primärer Angriff;Первичный Огонь
3_Secondary_Attack;Secondary Attack;Sekundärer Angriff;Вторичный Огонь
3_Move_Forward;Move Forward;Vorwärts Bewegen;Движение Вперед
3_Move_Backward;Move Backward;Rückwärts Bewegen;Движение Назад
3_Move_Left;Move Left;Links Bewegen;Движение Влево
3_Move_Right;Move Right;Rechts Bewegen;Движение Вправо
3_Enemy_Weapon_Penalty;Enemy Weapon Penalty;Feindlicher Waffenabzug;Штраф Оружия Врага
3_None;None;Nichts;Нет
3_Enemy_Armor_Penalty;Enemy Armor Penalty;Feindlicher Panzerungsabzug;Штраф Защиты Врага
3_Enemy_Targeting_Penalty;Enemy Targeting Penalty;Feindlicher Zielvermögen Abzug;Штраф Наведения Врага
3_Limited_Ammo;Limited Ammo;Begrenzte Munition;Ограниченный Боекомплект
3_Destroyable_Weapon;Destroyable Weapon;Zerstörbare Waffen;Уничтожаемое Оружие
3_SpaceShip_Control_Mode;SpaceShip Control Mode;Raumschiff Steuerungsmodus;Режим Управления Кораблем
3_Weapon_Targeting_Mode;Weapon Targeting Mode;Waffen Zielmodus;Режим Наведения Оружия
3_Not_implemented;Not implemented;Nicht verfügbar;Не задействован
3_Screen_Mode;Screen Mode;Bildschirm Modus;Режим Экрана
3_Window_Size;Window Size;Fenstergröße;Размер Окна
3_Bilinear;Bilinear;Bilinear;Билинейный
3_Trilinear;Trilinear;Trilinear;Трилинейный
3_Low;Low;Gering;Низкое
3_Medium;Medium;Mittel;Среднее
3_High;High;Hoch;Высокое
3_Disabled;Disabled;Ausgeschaltet;Отключено
3_1_Layer;1 Layer;1 Layer;1 Слой
3_2_Layers;2 Layers;2 Layer;2 Слоя
3_3_Layers;3 Layers;3 Layer;3 Слоя
;;;
3_Menu_Language;Menu Language;Menü-Sprache;Язык Меню
3_Keyboard_Layout;Keyboard Layout;Tastatur Layout;Раскладка клавиатуры
3_Voice_Language;Voice Language;Stimme Sprache;Голос в Игре
3_Language;Language;Sprache;Язык
3_Menu_Font;Menu Font;Menü-Schriftart;Шрифт Меню
3_Tipsandhints_Status;'Tips and hints' Status;'Tipps und Tricks' Stand;Окна 'Советы и подсказки'
3_Reset;Reset;Reset;Сброс
3_FPS_Сounter;FPS Сounter;FPS Zähler;FPS Счетчик
3_Weapon_Panels_View;Weapon Panels View;Ansicht der Waffentafeln;Вид Панелей Оружия
3_Full;Full;Voll;Полный
3_Flat;Flat;Flach;Плоский
3_Slim;Slim;Gering;Тонкий
3_Empty_Weapon_Slot;Empty Weapon Slot;Waffe Leerer Schacht;Пустой Oружейный Cлот
3_EMPTY;EMPTY;LEER;ПУСТОЙ
3_Level;level;schacht;уровень
3_Visual_Effects_Quality;Visual Effects Quality;Visuelle Effekte Qualität;Качество Визуальных Эффектов
3_Shadow_Quality;Shadow Quality;Schatten Qualität;Качество Теней
3_VSync;Sync to VBlank;Synchronisierung auf VBlank;Вертикальная Синхронизация
;;;
;;;
3_Music_Volume;Music Volume;Musiklautstärke;Громкость Музыки
3_Not_available;Not available;Nicht verfügbar;Недоступно
3_Sound_Effects_Volume;Sound Effects Volume;Soundeffektlautstärke;Громкость Эффектов
3_Voice_Volume;Voice Volume;Stimmelautstärke;Громкость Голоса
3_Full_Screen;Full Screen;Ganzer Bildschirm;Полный Экран
3_Refresh_Rate;Refresh Rate;Refresh Rate;Частота Обновления
3_Default;Default;Default;По умолчанию
3_Brightness;Brightness;Helligkeit;Яркость
3_Texture_Filtering_Mode;Texture Filtering Mode;Texture Filter Modus;Режим Вывода Текстуры
3_Textures_Quality;Textures Quality;Texture Qualität;Качество Текстур
3_Multisample_Antialiasing;Multisample Antialiasing;Multisample Antialiasing;Сглаживание
3_NAME;NAME;NAME;ИМЯ
3_SCORE;SCORE;Punkte;СЧЕТ
3_GAME_OBJECTS_INFORMATION;GAME OBJECTS INFORMATION;Informationen zum Spielziel;ИНФОРМАЦИЯ ОБ ОБЪЕКТАХ
3_Page_%i_of_%i;Page %i of %i;Seite %i von %i;Страница %i из %i
3_New_Pilot_Profile;New Pilot Profile;Neues Piloten Profile;Новый Профиль Пилота
3_Pilot_Profile;Pilot Profile;Pilot Profil;Профиль Пилота
3_Pilots_Profiles;Pilots Profiles;Piloten Profile;Профили Пилотов
3_Money;Money;Geld;Деньги
3_Experience;Exp;Erfahrung;Опыт
3_Difficulty;Difficulty;Schwierigkeit;Сложность
3_empty;empty;Leer;пусто
3_Current_Profile_Difficulty;Current Profile Difficulty;Profilschwierigkeit;Сложность Профиля
3_Weapon_Fire_Control:;Weapon Fire Control:;Waffenfeuerkontrolle:;Основное Управление:
3_Alternative_Fire_Control:;Alternative Fire Control:;Alternative Feuerkontrolle:;Вспомогательное:
3_Weapon_Angle:_%2.1f;Weapon Angle: %2.1f;Waffenwinkel: %2.1f;Угол Поворота: %2.1f
3_Type;Type;Typ;Тип
3_Killed;Killed;Vernichtet;Убито
3_Bonus;Bonus;Bonus;Бонус
3_Total;Total;Total;Всего
3_Textures_Compression;Textures Compression;Texturen Kompression;Компрессия Текстур
3_Mipmap_LOD_Management;Mipmap LOD Management;Mipmap LOD Verwaltung;Управление Мипмеп ЛОД
3_OpenGL_Shading_Language;OpenGL Shading Language;OpenGL  Schattierungssprache;OpenGL шейдеры (GLSL)
3_Point_Lights_per_Object;Point Lights per Object;Anzahl Lichter pro  Objekt;Кол-во Источников Света
3_1_Light;1 Light;1 Licht;1 источник
3_2_Lights;2 Lights;2 Lichter;2 источника
3_3_Lights;3 Lights;3 Lichter;3 источника
3_4_Lights;4 Lights;4 Lichter;4 источника
3_5_Lights;5 Lights;5 Lichter;5 источников
3_6_Lights;6 Lights;6 Lichter;6 источников
3_Anisotropy_Level;Anisotropy Level;Anisotropie Level;Уровень Анизотропии
3_Aspect_Ration;Aspect Ratio;Aspekt Ratio;Отношение Сторон
3_Standard;Standard;Standard;Стандарт
3_Widescreen;Widescreen;Widescreen;Широкоформат
;;;
;;;
4_Earth_Spaceships;Earth Spaceships;Erdraumschiffe;Корабли
4_Space_Mines;Space Mines;Raumminen;Мины
4_Space_Mine;Space Mine;Raummine;Космическая Мина
4_Auto_Cannon:;Auto Cannon:;Autokannone:;Авто Пушка:
4_Auto_Launcher:;Auto Launcher:;Autoraketenwerfer:;Авто Ракетомет:
4_Weapon;Weapon;Waffe;Оружие
4_Weapons;Weapons;Waffen;Оружие
4_Weapons_Slots:;Weapons Slots:;Waffenschächte:;Оружейных Слотов:
4_Alien_Spaceships;Alien Spaceships;Außerirdische;Пришельцы
4_Alien_Motherships;Alien Motherships;Mutterschiffe;Носители
4_Pirate_Spaceships;Pirate Spaceships;Piraten;Пираты
4_Pirate_Vehicles;Pirate Vehicles;Piratenfahrzeuge;Транспорт Пиратов
4_Pirate_Buildings;Pirate Buildings;Piratenbauten;Постройки Пиратов
4_Asteroids;Asteroids;Asteroiden;Астероиды
4_Civilian_Buildings;Civilian Buildings;Zivile Bauten;Здания
4_Military_Buildings;Military Buildings;Militärbauten;Турели
4_Wheeled_Vehicles;Wheeled Vehicles;RadFahrzeuge;Автомобили
4_Tracked_Vehicles;Tracked Vehicles;Kettenfahrzeuge;Танки
4_Wheeled_Vehicle;Wheeled Vehicle;RadFahrzeuge;Автомобиль
4_Tracked_Vehicle;Tracked Vehicle;Kettenfahrzeuge;Танк
4_Object_Class:;Object Class:;Objektklasse:;Класс:
4_Space_Ship;Space Ship;Raumschiff;Корабль
4_Ship_Type:;Ship Type:;Schiffstyp:;Тип Корабля:
4_Developer:;Developer:;Entwickler:;Разработчик:
4_Earth_Federation;Earth Federation;Erdförderation;Федерация
4_Status:;Status:;Status:;Статус:
4_Armor:;Armor:;Panzerung:;Защита:
4_Indestructible;Indestructible;Unzerstörbar;Неразрушимый
4_Upgrade_Mk2:;Upgrade Mk2:;Stufe Mk2:;Апгрейд Mk2:
4_Upgrade_Mk3:;Upgrade Mk3:;Stufe Mk3:;Апгрейд Mk3:
4_Upgrade_Mk4:;Upgrade Mk4:;Stufe Mk4:;Апгрейд Mk4:
4_Slots_Levels:;Slots Levels:;Schachtlevel:;Уровни слотов:
4_Codename:;Codename:;Codename:;Кодовое Имя:
4_Width:;Width:;Breite:;Ширина:
4_Length:;Length:;Länge:;Длина:
4_Height:;Height:;Höhe:;Высота:
4_Engines:;Engines:;Antriebe:;Двигатели:
4_Ally;Ally;Allierte;Союзник
4_Fighter;Fighter;Jäger;Истребитель
4_Interceptor;Interceptor;Abfangjäger;Перехватчик
4_Bomber;Bomber;Bomber;Бомбардировщик
4_Scout;Scout;Aufklärer;Разведчик
4_Attack_Ship;Attack Ship;Angriffsschiff;Штурмовик
4_Weapon,_Cannon;Weapon, Cannon;Waffe, Kanone;Пушка
4_Weapon,_Launcher;Weapon, Launcher;Waffe, Raketenwerfer;Установка
4_Type:;Type:;Typ:;Тип:
4_Damage,_Hull:;Damage, Hull:;Hüllenschaden:;Урон, Корпус:
4_Damage,_Systems:;Damage, Systems:;Systemschaden:;Урон, Системы:
4_Energy_Use:;Energy Use:;Energieverbrauch:;Расход Энергии:
4_Ammo:;Ammo:;Munition:;Боекомплект:
4_Reload:;Reload:;Auffüllen:;Перезарядка:
4_Range:;Range:;Reichweite:;Дальность:
4_Kinetic;Kinetic;Kinetisch;Кинетика
4_Ion;Ion;Ionen;Ион
4_Plasma;Plasma;Plasma;Плазма
4_Maser;Maser;Maser;Мазер
4_Antimatter;Antimatter;Antimaterie;Тахион
4_Laser;Laser;Laser;Лазер
4_Gauss;Gauss;Gauss;Гаусс
4_Propelled;Propelled;Angetrieben;Ракета
4_Unknown;Unknown;Unbekannt;Неизвестно
4_Enemy;Enemy;Feind;Враг
4_Damage:;Damage:;Schaden:;Урон:
4_MotherShip;MotherShip;Mutterschiff;Носитель
4_Pirate_Ship;Pirate Ship;Piraten;Корабль Пиратов
4_Pirates;Pirates;Piraten;Пираты
4_Marauder;Marauder;Plünderer;Мародер
4_Warder;Warder;Wächter;Страж
4_Raider;Raider;Gangster;Рейдер
4_Carrier;Carrier;Träger;Транспорт
4_Missile_Carrier;Missile Carrier;Lenkwaffenträger;Ракетный Транспорт
4_Freighter;Freighter;Frachter;Фрахтовщик
4_Battle_Freighter;Battle Freighter;Schlachtfrachter;Боевой Фрахтовщик
4_Civilian_Building;Civilian Building;Zivilgebäude;Здание
4_Old_Republic;Old Republic;Alte Repuplik;Старая Республика
4_Military_Building;Military Building;Militärgebäude;Турель
4_Cannon;Cannon;Kanone;Пушка
4_MachineGun;MachineGun;Maschinengewehr;Пулемет
4_Turbo_Cannon;Turbo Cannon;Turbo Kanone;Турбо Пушка
4_Missile_Launcher;Missile Launcher;Lenkwaffenträger;Ракетная Установка
4_Cannon_Turret;Cannon Turret;Kanonenturm;Турель с Пушкой
4_Armored_Jeep;Armored Jeep;Gepanzerter Jeep;Бронированный Джип
4_Jeep;Jeep;Jeep;Джип
4_APC;APC;BAT;БТР
4_Tank;Tank;Panzer;Танк
4_Engineer;Engineer;Ingenieur;Трактор
4_Not_combatant;Not combatant;Kein Gegner;Не боеспособен
4_System;System;System;Система
4_Spaceship_Engine;Spaceship Engine;Raumschiffantrieb;Двигатель
4_Ion_Resistance:;Ion Resistance:;Ionenresistenz:;Ионная Защита:
4_Engine_Power:;Engine Power:;Antriebsenergie:;Мощность:
4_Acceleration:;Acceleration:;Beschleunigung:;Ускорение:
4_Relations/Dependences:;Relations/Dependences:;Beziehungen/Abhängigkeiten:;Зависимы/Зависят:
4_SpaceShip_Weight;SpaceShip Weight;Raumschiffgewicht;Вес Корабля
4_Power_Source;Power Source;Energiequelle;Источник Энергии
4_ArcadeModeLine1;Useless with Arcade;Nutzlos im Arcade Modus;Бесполезно в Аркадном
4_ArcadeModeLine2;SpaceShip Control Mode.;Raumschiffkontrollmodus.;Режиме Управления Кораблем.
4_ArcadeModeLine3;Weapon Targeting Mode.;Waffenzielmodus.;Режиме Наведения Оружия.
4_Energy_Capacity:;Energy Capacity:;Energie Kapazität:;Емкость:
4_Recharge_Rate:;Recharge Rate:;Aufladungsrate:;Перезарядка:
4_Weapon_Recharge_Rate;Weapon Recharge Rate;Waffenaufladungsrate;Скорость Перезарядки
4_Optical_Computer;Optical Computer;Optischer Computer;Компьютер
4_Targeting_System;Targeting System;Zielsystem;Наведение
4_Advanced_System;Advanced System;Hochentwickeltes System;Защита
4_Target_Tracing:;Target Tracing:;Zielverfolgung:;Контроль Целей:
4_Auto_Adjustment:;Auto Adjustment:;Auto Anpassung:;Авто Наведение:
4_No;No;Nein;Нет
4_Yes;Yes;Ja;Да
4_Weapon_Fire_Range;Weapon Fire Range;Waffenreichweite;Дальность Стрельбы
4_Weapon_Orientation;Weapon Orientation;Waffenrichtung;Ориентация Оружия
4_Orientation_Speed:;Orientation Speed:;Ausrichtungsgeschwindigkeit:;Скорость Поворота:
4_Hull_Repair_Rate:;Hull Repair Rate:;Hüllenreparaturrate:;Скорость Ремонта:
4_Resistance,_Hull:;Resistance, Hull:;Hüllenresistenz:;Защита, Корпус:
4_Resistance,_System:;Resistance, System:;Systemresistenz:;Защита, Система:
4_Shield_Power:;Shield Power:;Schild Power:;Мощность Щита:
4_Hull_Resistance;Hull Resistance;Hüllenresistenz;Защита Корпуса
4_Systems_Resistance;Systems Resistance;Systemresistenz;Защита Систем
4_SpaceShip_Vitality;SpaceShip Vitality;Raumschiffdynamik;Живучесть Корабля
4_units;units;Einheiten;юнит
4_units_per_shot;units per shot;Einheiten/Schuss;юнит/выстрел
4_seconds;seconds;Sekunden;секунд
4_units_per_sec;units per sec;Einheiten/sek;юнит в сек
4_object(s);object(s);Objekte(e);объект(ы)
4_deg_per_sec;deg per sec;Grad pro Sek;град в сек
4_per_sec;per sec;pro sek;в секунду
4_units/shot;units/shot;Einheiten/Schuss;юнит/выстрел
4_units/sec;units/sec;Einheiten/Sek;юнит/сек
4_Game_Speed:;Game Speed:;Spielgeschwindigkeit:;Скорость Игры:
4_Missile_Detected;Missile Detected;Rakete erkannt;Обнаружена ракета
4_Collision_Course_Detected;Collision Course Detected;Collision Course Erkannt;Высокая Вероятность Столкновения
;;;
;;;
5_FighterLine1;Fighter is a military spaceship primarily designed to attack other space-;Der Jäger ist ein Raumschiff, welches in erster Linie zum Angriff auf;Истребитель - это военный боевой корабль сконструированный для атаки
5_FighterLine2;ships. Fighters are comparatively fast, maneuverable and equipped with;andere Raumschiffe konstruiert wurde. Jäger sind beweglich und mit;вражеских кораблей. Истребитель относительно быстр и вооружен
5_FighterLine3;primary and secondary weapon systems to attack other spaceships.;Primär- und Sekundärwaffen ausgestattet, um andere Raumschiffe anzugreifen.;первичными и вторичными системами ведения огня.
;;;
5_InterceptorLine1;Interceptor is a type of fighter specifically designed to intercept and;Der Abfangjäger wurde konstruiert um feindliche Raumschiffe;Перехватчик - это специально сконструированные истребители, основной
5_InterceptorLine2;destroy enemy spaceships. Interceptors are very fast, maneuverable and;abzufangen und zu zerstören. Abfangjäger sind sehr schnell und;задачей которых является перехват вражеских целей. Как правило
5_InterceptorLine3;equipped only with primary weapon systems to attack other spaceships.;beweglich und haben nur Primärwaffen an Bord, um die Feinde zu zerstören.;максимально облегчены и не комплектуются тяжелыми орудиями.
;;;
5_BomberLine1;Bomber is a military spaceship specifically designed to carry bombs, torpedoes;Der Bomber wurde konstruiert um Bomben, Torpedos und Raketen zu transportieren.;Бомбардировщик - это модификация истребителя дальнего действия.
5_BomberLine2;and missiles. Bombers are comparatively slow and also equipped with some;Bomber sind ziemlich langsam und haben einige wenige Primärwaffensysteme;Может комплектоваться пусковыми установками для стрельбы ракетами,
5_BomberLine3;primary weapon systems to defend themselves from enemy spaceships.;zur Selbstverteidigung an Bord um die Angriffe von Raumschiffen abzuwehren.;торпедами и бомбами. Весьма уязвим в ближнем бою.
;;;
5_AttackShipLine1;Attack Ship is a type of bomber specifically designed for long-range;Das Angriffsschiff ist ein Bombertyp, der speziell für weit reichende;Штурмовик - это корабль тактической поддержки десанта при штурме.
5_AttackShipLine2;raids in small groups, as opposed to a bomber designed to attack;Raubzüge in kleinen Gruppen entwickelt wurde, im Gegenteil zu den Bombern,;Обладает улучшенной комплектацией системами вооружения. Из-за
5_AttackShipLine3;under air cover provided by fighters.;die Luftschutz durch Jäger benötigen.;плохой маневренности нуждается в сопровождении истребителями.
;;;
5_ScoutLine1;Scout is a spaceship specifically designed to actively gather information;Der Aufklärer ist ein speziell entwickeltes Raumschiff zum sammeln von;Разведчик - это специально сконструированный слабо вооруженный
5_ScoutLine2;about the enemy or other objects by means of physical observation. Scouts;Informationen über den Feind oder die feindlichen Objekte. Aufklärer sind ;корабль. Основная задача Разведчика состоит в быстром сборе
5_ScoutLine3;are very small, fast, and highly maneuverable.;sehr klein, schnell und hoch manöverierfähig.;информации и уничтожении единичных объектов противника.
;;;
5_KineticLine1;Kinetic is a weapon that forcibly throws projectiles at a target. These projec-;Kinetische Waffen schiessen Projektile auf das Ziel. Diese Projektile haben;Кинетика - оружие разгоняющее и выстреливающее снаряд в цель.
5_KineticLine2;tiles are not self-propelled. A projectile is an object usually made of a metal;keinen Antrieb. Sie bestehen meistens aus einer verdichteten Metalllegierung.;Как правило, снарядом выступает свинцовая болванка. Иногда содержит
5_KineticLine3;alloy. In contrast to a missile, a projectile does not contain explosives.;Im Gegensatz zu den Raketen, enthalten die Projektile keine Sprengkörper.;стальной бронебойный сердечник для причинения большего урона.
;;;
5_IonLine1;Ion is a particle-beam weapon employing a dual-particle beam array.;Ionenwaffen sind Strahlwaffen, bestehen aus zwei Partikelströmen. Der innere;Ион - пучок электрически заряженных частиц выступающий в качестве
5_IonLine2;The inner part, or core, is composed of positively charged ions - normally;Teil, oder Kern, besteht aus positiv geladenen Ionen - gewöhnlich Eisennukleide,;снаряда. Способен проникать сквозь корпус корабля вызывая частичные
5_IonLine3;iron nuclei, while the outer part is composed of neutral particles.;während sich der äussere Teil aus neutralen Partikeln zusammen setzt.;или полные разрушения внутренних систем.
;;;
5_PlasmaLine1;Plasma is a weapon that forcibly throws highly ionized matter obtained;Plasmawaffen schleudern enorm hoch ionisierte Materie, die entweder durch;Плазма - в качестве снаряда выступает высоко ионизированный материал
5_PlasmaLine2;either by heating some material to very high temperatures or by bombarding;die Erhitzung von irgendeinem Material auf extrem hohe Temperaturen, oder durch;полученный разогреванием материи до сверх высоких температур.
5_PlasmaLine3;it with a strong flux of high-energy photons.;Bombardierung mit einem starken Strom an Hochenergiephotonen, gewonnen wird.;Совмещает в себе достоинства кинетического и ионного оружия.
;;;
5_MaserLine1;Microwave Amplification by Stimulated Emission of Radiation is a weapon;Maserwaffen, erzeugen kohärente elektromagnetische Wellen im Mikrowellen-;Мазер - Microwave Amplification by Stimulated Emission of Radiation. Поражает
5_MaserLine2;that forcibly throws projectile amplifier that produces coherent;bereich. Die Mikrowellen werden mit enormer Energie gerichtet;направленно испускаемым потоком когерентных микроволн. Обладает
5_MaserLine3;microwaves as the result of stimulated emission.;abgestrahlt. Beim Auftreffen werden damit verherende Wirkungen erzielt.;всеми свойствами лучевого оружия.
;;;
5_AntimatterLine1;Antimatter is a weapon that forcibly throws matter consisting of;Antimateriewaffen senden wie alle Partikelwaffen Teilchenströme aus. Diese;Тахион - пучок нестабильных частиц обладающих скоростью выше скорости
5_AntimatterLine2;antiparticles, elementary particles of ordinary matter, such as protons and;Antipartikel sind aber anders herum geladen, dadurch haben die Protonen und;света. Для увеличения термо-энергетического поражающего воздействия,
5_AntimatterLine3;electrons, but having an opposite electrical charge.;Elektronen eine extrem verherende Wirkung beim Auftreffen auf normale Materie.;скорость частиц снижена до скорости света.
;;;
5_LaserLine1;Light Amplification by Stimulated Emission of Radiation. A high-energy light;Laserwaffen funktionieren durch Lichtverstärkung durch stimulierte Emission.;Лазер - Light Amplification by Stimulated Emission of Radiation. Высоко
5_LaserLine2;source that uses light emitted by the natural vibrations of atoms (in gas;Eine Hochenergie Lichtquelle ist der Ausgangspunkt um beliebige Materialien;энергетический источник света использующий излучения естественных
5_LaserLine3;or solid material) to cut, burn or dissolve materials for various purposes.;mit militärischen Umfeld zu zerschneiden bzw. zu verdampfen zu lassen.;вибраций атомов газообразных или твердых тел.
;;;
5_GaussLine1;Gauss is a weapon that forcibly throws projectiles that operate on;Gauss ist ein Waffensystem, welches subatomare Projektile mit extrem hoher;Гаусс - в качестве снаряда выступает активная материя, оперирующая на
5_GaussLine2;the subatomic level of any matter they are used against by disintegrating;Geschwindigkeit auf das Ziel feuert. Dort kommt es zur sofortigen;субатомном уровне. При попадании в цель дезинтегрирует часть материи
5_GaussLine3;the molecules of the target.;Desintegration der Moleküle.;цели сопоставимую с материей снаряда.
;;;
5_MissileLine1;Missile is a self-propelled explosive projectile moving due to the ejection;Raketen haben einen Antrieb beruhend auf dem Rückstoßprinzip. Der;Ракета - это беспилотный летательный аппарат однократного
5_MissileLine2;of matter, especially the high-velocity ejection of gaseous combustion;Brennstoff erzeugt riesige Mengen an Gasen die mit sehr hoher;запуска, оснащённый крыльями-стабилизаторами, системой наведения
5_MissileLine3;products produced by the internal ignition of solid or liquid fuel.;Geschwindigkeit ausgestossen werden und dadurch das Geschoss antreiben.;и кислородно-реактивным двигателем.
;;;
5_TorpedoLine1;Torpedo is a self-propelled explosive projectile that (after being launched);Torpedos sind angetriebene Projektile, die nach dem Abschuss automatisch;Торпеда - это самодвижущееся оружие (снаряд). Оснащается мощным
5_TorpedoLine2;operates automatically and is designed to detonate on contact or in proximity;gesteuert werden. Sie tragen eine große Menge an Explosivstoffen, die bei;зарядом взрывчатого вещества. Как правило, настроена на детонацию
5_TorpedoLine3;to the target.;Kontakt, oder Annäherung automatisch im Ziel explodieren.;при столкновении с кораблем противника.
;;;
5_NukeBombLine1;Nuke Bomb is a self-propelled explosive nuclear projectile that uses;Atombomben sind angetriebene Nuklearprojektile, die mittels ;Бомба - это самодвижущееся оружие (снаряд). Оснащается мощным
5_NukeBombLine2;nuclear fusion to release energy stored in the nuclei of hydrogen isotopes.;Wasserstofffusion eine heftige Kettenreaktion auslösen. Diese Bombe;ядерным зарядом. Как правило, настроена на детонацию при
5_NukeBombLine3;This bomb is designed to detonate on contact or in proximity to the target.;ist konstruiert, um bei Kontakt oder Annäherung ans Ziel zu explodieren.;столкновении с кораблем противника.
;;;
5_MineLine1;Space Mine is an explosive device, usually some kind of container filled with;Raummine werden üblicherweise in einem Behälter angefüllt mit Sprengstoff ;Космическая Мина - это боеприпас, установленный в космосе и предназна-
5_MineLine2;explosive material, designed to cause destruction when set off. The explosion;geliefert, die nach dem aussetzen scharfgeschaltet werden und üblicherweise ;ченный для поражения кораблей противника, а также для затруднения
